"File","LineNumber","Text"
"advance.js","265","マウスモードは「<Default Mouse>」プリセットの設定が必要です。"
"advance.js","289","Bluetoothデバイスを選択: "
"advance.js","494","スケーリング用の応答カーブです。（Passthrough / Linear のみ。他は未確定）"
"advance.js","494","スケーリング用の応答カーブです。（Passthrough / Linear のみ。他は未確定）"
"advance.js","662","スケーリング用の応答カーブです。（Passthrough / Linear のみ。他は未確定）"
"advance.js","662","スケーリング用の応答カーブです。（Passthrough / Linear のみ。他は未確定）"
"advance.js","700","グローバル設定の CHRC を取得..."
"advance.js","729","CTRL chrc に出力 "
"advance.js","756","入力 CTRL CHRC を設定... "
"advance.js","756","入力 CTRL CHRC を設定... "
"advance.js","759","入力 DATA CHRC を読み込み中..."
"advance.js","763","入力 DATA 取得: "
"advance.js","763","入力 DATA 取得: "
"advance.js","766","入力 DATA 取得: "
"advance.js","766","入力 DATA 取得: "
"advance.js","841"," + nbMapping + "
"advance.js","841"," + src.length + "
"advance.js","920","入力 CTRL CHRC を設定... "
"advance.js","920","入力 CTRL CHRC を設定... "
"advance.js","923","入力 DATA CHRC を書き込み中..."
"advance.js","932","入力 DATA を書き込みました"
"advance.js","1018","> Bluetooth デバイスが切断されました"
"advance.js","1092","現在の設定: GameID"
"advance.js","1100","Bluetooth デバイスを要求中..."
"advance.js","1105","GATT サーバへ接続中..."
"advance.js","1112","VS-C4 のサービスを取得中..."
"advance.js","1117","VS-C4 に接続できませんでした"
"advance.js","1168"," + bdaddr + "
"advance.js","1169"," + gameid + "
"advance.js","1169","]<br> 現在のゲーム: "
"advance.js","1172"," を <a href=\"
"advance.js","1172","<br><br>最新FW "
"advance.js","1172",">GitHub</a> からダウンロード"
"advance.js","1228"," + btnList[i][srcLabel] + "
"advance.js","1228","<オプション value=\"
"advance.js","1228","<オプション value=\"
"advance.js","1246"," + btnList[i][destLabel] + "
"advance.js","1246","<オプション value=\"
"advance.js","1246","<オプション value=\"
"dc_vmu.js","137","> Bluetooth デバイスが切断されました"
"dc_vmu.js","146","Bluetooth デバイスを要求しています..."
"dc_vmu.js","151","GATT サーバーに接続しています..."
"dc_vmu.js","158","BlueRetro サービスを取得しています..."
"dc_vmu.js","163","BlueRetro に接続できませんでした"
"dc_vmu.js","186"," + app_ver + "
"dc_vmu.js","186"," + bdaddr + "
"dc_vmu.js","189"," を <a href=\"
"dc_vmu.js","189","<br><br>最新FW "
"debug.js","70","> Bluetooth デバイスが切断されました"
"debug.js","79","Bluetooth デバイスを要求しています..."
"debug.js","84","GATT サーバーに接続しています..."
"debug.js","91","BlueRetro サービスを取得しています..."
"debug.js","96","BlueRetro に接続できませんでした"
"debug.js","119"," + app_ver + "
"debug.js","119"," + bdaddr + "
"debug.js","122"," を <a href=\"
"debug.js","122","<br><br>最新FW "
"files.js","128","> Bluetooth デバイスが切断されました"
"files.js","147","Bluetooth デバイスを要求しています..."
"files.js","152","GATT サーバーに接続しています..."
